127.0.0.1, 2016-03-11 23:34:43, GET, /admin/default/site, HTTP/1.1, 303, 0.371139
127.0.0.1, 2016-03-11 23:34:43, GET, /admin/default/index, HTTP/1.1, 200, 0.604210
127.0.0.1, 2016-03-11 23:34:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001092
127.0.0.1, 2016-03-11 23:34:46, POST, /admin/default/index, HTTP/1.1, 303, 0.147525
127.0.0.1, 2016-03-11 23:34:46, GET, /admin/default/site, HTTP/1.1, 200, 0.168296
127.0.0.1, 2016-03-11 23:34:47, POST, /admin/default/check_version, HTTP/1.1, 200, 0.736315
127.0.0.1, 2016-03-11 23:34:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000720
127.0.0.1, 2016-03-11 23:34:51, GET, /admin/default/uninstall/examples, HTTP/1.1, 200, 0.127141
127.0.0.1, 2016-03-11 23:34:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000724
127.0.0.1, 2016-03-11 23:34:54, POST, /admin/default/uninstall/examples, HTTP/1.1, 303, 1.282265
127.0.0.1, 2016-03-11 23:34:54, GET, /admin/default/site, HTTP/1.1, 200, 0.181179
127.0.0.1, 2016-03-11 23:34:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000926
127.0.0.1, 2016-03-11 23:34:57, GET, /admin/default/uninstall/welcome, HTTP/1.1, 200, 0.118869
127.0.0.1, 2016-03-11 23:34:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000934
127.0.0.1, 2016-03-11 23:34:59, POST, /admin/default/uninstall/welcome, HTTP/1.1, 303, 0.670519
127.0.0.1, 2016-03-11 23:35:00, GET, /admin/default/site, HTTP/1.1, 200, 0.151827
127.0.0.1, 2016-03-11 23:35:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000709
127.0.0.1, 2016-03-11 23:35:17, POST, /admin/default/site, HTTP/1.1, 303, 1.209343
127.0.0.1, 2016-03-11 23:35:17, GET, /admin/default/site, HTTP/1.1, 200, 0.153663
127.0.0.1, 2016-03-11 23:35:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000713
